ID Giao Dịch,Ngày,Chi Nhánh,Khu Vực,Nhân Viên,Khách Hàng,Tuổi,Giới Tính,Địa Chỉ,Hãng Xe,Tên Xe,Loại Xe,Màu Sắc,Giá Niêm Yết,Nguồn Khách,Hình Thức,Dịch Vụ,Khuyến Mãi,Tổng Cộng
KHB-XM-000001,02/11/2025,CN Long Biên,Hà Nội,NV_164,Phan An,50,Nam,Hà Nội,Yamaha,Yamaha Exciter 155,Xe côn,Xám xi măng,48500000,YouTube,Trả góp,Bảo hiểm dân sự,0,48950000
KHB-XM-000002,15/01/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_102,Trần Hạnh,62,Nam,TP Hồ Chí Minh,Honda,Honda Wave RSX FI,Xe số,Xanh dương,22500000,TikTok,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ, Dán keo, Phủ nano",500000,23800000
KHB-XM-000003,11/09/2025,CN Quận 10,TP Hồ Chí Minh,NV_103,Nguyễn Hạnh,50,Nam,TP Hồ Chí Minh,Honda,Honda Lead 125,Tay ga,Đen,40000000,TikTok,Thanh toán chuẩn,"Đăng ký xe, Bảo hiểm dân sự",0,40900000
KHB-XM-000004,25/04/2025,CN Bình Tân,TP Hồ Chí Minh,NV_101,Huỳnh An,48,Nữ,TP Hồ Chí Minh,Suzuki,Suzuki Burgman Street,Tay ga,Trắng,49500000,Website hệ thống,Thanh toán chuẩn,"Khung bảo vệ, Đăng ký xe",0,50400000
KHB-XM-000005,01/04/2025,CN Bình Tân,TP Hồ Chí Minh,NV_105,Phan Hạnh,39,Nam,TP Hồ Chí Minh,Suzuki,Suzuki Burgman Street,Tay ga,Đỏ,49500000,Tự tìm kiếm,Trả góp,Đăng ký xe,0,49950000
KHB-XM-000006,03/11/2025,CN Thanh Khê,Đà Nẵng,NV_154,Huỳnh Nam,19,Nam,Đà Nẵng,Yamaha,Yamaha Exciter 155,Xe côn,Trắng,48500000,TikTok,Trả góp,"Phủ nano, Khung bảo vệ, Bảo hiểm dân sự, Đăng ký xe",0,50300000
KHB-XM-000007,05/08/2025,CN Thanh Xuân,Hà Nội,NV_155,Huỳnh Khánh,35,Nữ,Hà Nội,Yamaha,Yamaha NVX 155,Tay ga,Xanh dương,55000000,Tự tìm kiếm,Thanh toán chuẩn,"Đăng ký xe, Bảo hiểm dân sự, Phủ nano",0,56350000
KHB-XM-000008,06/02/2025,CN Thanh Khê,Đà Nẵng,NV_197,Vũ Hùng,26,Nữ,Đà Nẵng,Suzuki,Suzuki Raider R150,Xe côn,Trắng,50500000,Người quen giới thiệu,Trả góp,Dán keo,0,50950000
KHB-XM-000009,15/11/2025,CN Quận 5,TP Hồ Chí Minh,NV_174,Phan Khánh,30,Nam,TP Hồ Chí Minh,Suzuki,Suzuki Raider R150,Xe côn,Xanh dương,50500000,YouTube,Thanh toán chuẩn,"Khung bảo vệ, Phủ nano",0,51400000
KHB-XM-000010,05/11/2025,CN Hai Bà Trưng,Hà Nội,NV_197,Hoàng Linh,52,Nam,Hà Nội,Suzuki,Suzuki Raider R150,Xe côn,Vàng,50500000,Facebook,Thanh toán chuẩn,"Đăng ký xe, Bảo hiểm dân sự, Phủ nano",0,51850000
KHB-XM-000011,08/12/2025,CN Quận 10,TP Hồ Chí Minh,NV_153,Phan Khánh,26,Nữ,TP Hồ Chí Minh,Honda,Honda Blade 110,Xe số,Xanh dương,19500000,TikTok,Trả góp,"Phủ nano, Khung bảo vệ",0,20400000
KHB-XM-000012,03/05/2025,CN Thanh Xuân,Hà Nội,NV_198,Trần Hùng,44,Nam,Hà Nội,Yamaha,Yamaha Sirius FI,Xe số,Xanh dương,21500000,Tự tìm kiếm,Trả góp,"Bảo hiểm dân sự, Đăng ký xe",0,22400000
KHB-XM-000013,25/02/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_179,Phạm Giang,27,Nam,TP Hồ Chí Minh,Suzuki,Suzuki Burgman Street,Tay ga,Xám xi măng,49500000,Tự tìm kiếm,Trả góp,"Đăng ký xe, Khung bảo vệ, Bảo hiểm dân sự, Dán keo",0,51300000
KHB-XM-000014,13/09/2025,CN Hải Châu,Đà Nẵng,NV_166,Phạm Bình,23,Nữ,Đà Nẵng,Yamaha,Yamaha Exciter 155,Xe côn,Vàng,48500000,YouTube,Trả góp,Khung bảo vệ,0,48950000
KHB-XM-000015,04/11/2025,CN Đống Đa,Hà Nội,NV_159,Vũ Hùng,57,Nam,Hà Nội,Honda,Honda Winner X,Xe côn,Vàng,46000000,TikTok,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ, Dán keo, Đăng ký xe",0,47800000
KHB-XM-000016,06/11/2025,CN Hai Bà Trưng,Hà Nội,NV_122,Huỳnh Nam,42,Nữ,Hà Nội,Yamaha,Yamaha NVX 155,Tay ga,Xanh dương,55000000,Tự tìm kiếm,Trả góp,"Phủ nano, Khung bảo vệ",0,55900000
KHB-XM-000017,03/11/2025,CN Thanh Xuân,Hà Nội,NV_158,Trần Hạnh,18,Nam,Hà Nội,Honda,Honda SH 150i ABS,Tay ga,Trắng,110000000,Facebook,Trả góp,"Dán keo, Đăng ký xe",0,110900000
KHB-XM-000018,04/01/2025,CN Thanh Xuân,Hà Nội,NV_154,Huỳnh Bình,36,Nữ,Hà Nội,Yamaha,Yamaha Sirius,Xe số,Đỏ,19000000,Người quen giới thiệu,Thanh toán chuẩn,"Khung bảo vệ, Đăng ký xe",500000,19400000
KHB-XM-000019,29/07/2025,CN Long Biên,Hà Nội,NV_147,Phan Khánh,21,Nữ,Hà Nội,Honda,Honda Blade 110,Xe số,Đỏ,19500000,Facebook,Thanh toán chuẩn,"Khung bảo vệ, Dán keo, Phủ nano, Bảo hiểm dân sự",500000,20800000
KHB-XM-000020,05/09/2025,CN Hai Bà Trưng,Hà Nội,NV_155,Nguyễn Hùng,40,Nam,Hà Nội,Yamaha,Yamaha Sirius,Xe số,Xanh dương,19000000,Tự tìm kiếm,Trả góp,"Dán keo, Đăng ký xe",0,19900000
KHB-XM-000021,05/12/2025,CN Tân Bình,TP Hồ Chí Minh,NV_133,Vũ Quân,26,Nữ,TP Hồ Chí Minh,Honda,Honda Lead 125,Tay ga,Xanh dương,40000000,Người quen giới thiệu,Trả góp,"Dán keo, Khung bảo vệ, Đăng ký xe, Phủ nano",0,41800000
KHB-XM-000022,25/02/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_138,Vũ An,48,Nữ,TP Hồ Chí Minh,Honda,Honda Blade 110,Xe số,Vàng,19500000,YouTube,Thanh toán chuẩn,Bảo hiểm dân sự,0,19950000
KHB-XM-000023,06/12/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_110,Phạm Khánh,36,Nữ,TP Hồ Chí Minh,Honda,Honda Winner X,Xe côn,Đen,46000000,Website hệ thống,Thanh toán chuẩn,"Đăng ký xe, Bảo hiểm dân sự, Dán keo, Phủ nano",0,47800000
KHB-XM-000024,06/12/2025,CN Thanh Xuân,Hà Nội,NV_115,Phan Khánh,47,Nam,Hà Nội,Honda,Honda Lead 125,Tay ga,Đỏ,40000000,TikTok,Trả góp,"Bảo hiểm dân sự, Dán keo, Khung bảo vệ",0,41350000
KHB-XM-000025,20/01/2025,CN Thanh Xuân,Hà Nội,NV_101,Phạm Hùng,37,Nữ,Hà Nội,Yamaha,Yamaha Jupiter Finn,Xe số,Vàng,28000000,Website hệ thống,Thanh toán chuẩn,"Khung bảo vệ, Phủ nano, Bảo hiểm dân sự",500000,28850000
KHB-XM-000026,29/10/2025,CN Hoàn Kiếm,Hà Nội,NV_107,Trần Bình,26,Nữ,Hà Nội,Honda,Honda Lead 125,Tay ga,Vàng,40000000,Tự tìm kiếm,Trả góp,"Dán keo, Phủ nano",0,40900000
KHB-XM-000027,31/07/2025,CN Quận 5,TP Hồ Chí Minh,NV_124,Huỳnh Hạnh,49,Nữ,TP Hồ Chí Minh,Suzuki,Suzuki Raider R150,Xe côn,Trắng,50500000,Facebook,Trả góp,"Đăng ký xe, Khung bảo vệ",0,51400000
KHB-XM-000028,09/10/2025,CN Thanh Xuân,Hà Nội,NV_105,Huỳnh Giang,57,Nam,Hà Nội,Honda,Honda Wave Alpha,Xe số,Trắng,18500000,Website hệ thống,Trả góp,"Dán keo, Đăng ký xe",0,19400000
KHB-XM-000029,30/07/2025,CN Quận 10,TP Hồ Chí Minh,NV_190,Phạm Hạnh,33,Nữ,TP Hồ Chí Minh,Yamaha,Yamaha NVX 155,Tay ga,Trắng,55000000,Tự tìm kiếm,Trả góp,"Bảo hiểm dân sự, Đăng ký xe, Phủ nano",0,56350000
KHB-XM-000030,13/01/2025,CN Bình Tân,TP Hồ Chí Minh,NV_155,Phạm Chi,64,Nam,TP Hồ Chí Minh,Honda,Honda Blade 110,Xe số,Đỏ,19500000,YouTube,Thanh toán chuẩn,"Bảo hiểm dân sự, Khung bảo vệ, Đăng ký xe, Phủ nano",0,21300000
KHB-XM-000031,26/05/2025,CN Bình Thạnh,TP Hồ Chí Minh,NV_103,Phan Khánh,46,Nữ,TP Hồ Chí Minh,Honda,Honda Wave Alpha,Xe số,Đen,18500000,Người quen giới thiệu,Thanh toán chuẩn,"Đăng ký xe, Dán keo",0,19400000
KHB-XM-000032,04/02/2025,CN Bình Thạnh,TP Hồ Chí Minh,NV_159,Lê Dũng,35,Nam,TP Hồ Chí Minh,Honda,Honda Future 125 FI,Xe số,Đỏ,31000000,TikTok,Thanh toán chuẩn,"Khung bảo vệ, Dán keo, Đăng ký xe",0,32350000
KHB-XM-000033,07/02/2025,CN Quận 5,TP Hồ Chí Minh,NV_145,Vũ Linh,61,Nữ,TP Hồ Chí Minh,Honda,Honda Winner X,Xe côn,Đen,46000000,Người quen giới thiệu,Thanh toán chuẩn,"Phủ nano, Đăng ký xe, Khung bảo vệ",0,47350000
KHB-XM-000034,24/04/2025,CN Thanh Xuân,Hà Nội,NV_180,Nguyễn Dũng,27,Nam,Hà Nội,Yamaha,Yamaha Exciter 155,Xe côn,Trắng,48500000,Website hệ thống,Trả góp,"Bảo hiểm dân sự, Khung bảo vệ, Phủ nano",0,49850000
KHB-XM-000035,12/03/2025,CN Liên Chiểu,Đà Nẵng,NV_129,Nguyễn An,58,Nam,Đà Nẵng,Honda,Honda Future 125 FI,Xe số,Vàng,31000000,Facebook,Thanh toán chuẩn,"Đăng ký xe, Dán keo, Khung bảo vệ",0,32350000
KHB-XM-000036,13/10/2025,CN Quận 5,TP Hồ Chí Minh,NV_182,Phạm Quân,49,Nữ,TP Hồ Chí Minh,Honda,Honda SH 150i ABS,Tay ga,Vàng,110000000,YouTube,Thanh toán chuẩn,"Dán keo, Phủ nano, Khung bảo vệ",0,111350000
KHB-XM-000037,08/01/2025,CN Hai Bà Trưng,Hà Nội,NV_127,Huỳnh Quân,36,Nữ,Hà Nội,Honda,Honda Vision,Tay ga,Đen,33000000,Facebook,Thanh toán chuẩn,Dán keo,0,33450000
KHB-XM-000038,16/09/2025,CN Gò Vấp,TP Hồ Chí Minh,NV_112,Hoàng Linh,26,Nam,TP Hồ Chí Minh,Suzuki,Suzuki Satria F150,Xe côn,Xanh dương,53500000,Tự tìm kiếm,Trả góp,"Phủ nano, Khung bảo vệ, Bảo hiểm dân sự, Đăng ký xe",0,55300000
KHB-XM-000039,18/07/2025,CN Quận 5,TP Hồ Chí Minh,NV_184,Trần An,48,Nam,TP Hồ Chí Minh,Honda,Honda Wave Alpha,Xe số,Đỏ,18500000,Facebook,Trả góp,"Bảo hiểm dân sự, Phủ nano",0,19400000
KHB-XM-000040,17/10/2025,CN Bình Thạnh,TP Hồ Chí Minh,NV_140,Huỳnh Minh,45,Nữ,TP Hồ Chí Minh,Yamaha,Yamaha Sirius FI,Xe số,Trắng,21500000,TikTok,Thanh toán chuẩn,Khung bảo vệ,0,21950000
KHB-XM-000041,29/11/2025,CN Quận 1,TP Hồ Chí Minh,NV_116,Nguyễn Dũng,61,Nam,TP Hồ Chí Minh,Honda,Honda Air Blade 125,Tay ga,Xanh dương,42500000,Website hệ thống,Thanh toán chuẩn,"Đăng ký xe, Khung bảo vệ, Phủ nano, Dán keo",0,44300000
KHB-XM-000042,20/07/2025,CN Đống Đa,Hà Nội,NV_168,Trần Bình,42,Nữ,Hà Nội,Yamaha,Yamaha Exciter 155,Xe côn,Trắng,48500000,Website hệ thống,Trả góp,"Dán keo, Đăng ký xe, Khung bảo vệ",0,49850000
